ticket_id,booking_id,seat_number,coach_number,class_type,fare_amount
1,3525,S3-5,C4,AC,360.16
2,5565,S12-1,C6,Sleeper,270.58
3,4695,S25-4,C1,AC,478.78
4,9405,S41-5,C3,General,165.09
5,1672,S23-4,C6,AC,451.16
6,282,S35-1,C2,Sleeper,410.37
7,332,S11-2,C2,General,112.95
8,9538,S22-3,C2,Sleeper,93.44
9,6841,S39-5,C4,Sleeper,135.96
10,9102,S23-3,C2,AC,489.28
11,2692,S27-2,C3,AC,384.72
12,2091,S8-3,C5,AC,141.31
13,7780,S7-3,C1,AC,194.83
14,6436,S32-5,C8,AC,297.7
15,529,S50-1,C2,General,208.83
16,9921,S7-2,C3,AC,291.53
17,3051,S13-2,C7,Sleeper,201.96
18,4403,S27-5,C1,Sleeper,136.51
19,6339,S48-5,C4,Sleeper,65.79
20,5591,S29-1,C10,AC,161.3
21,3281,S46-5,C2,AC,181.98
22,5547,S9-4,C9,General,261.18
23,2649,S41-4,C1,Sleeper,445.48
24,5403,S28-3,C1,General,312.48
25,239,S40-5,C10,General,245.12
26,9946,S6-5,C6,Sleeper,266.77
27,9187,S28-4,C10,AC,306.28
28,9941,S37-2,C9,Sleeper,499.36
29,2021,S41-5,C5,General,486.51
30,7539,S18-4,C2,Sleeper,155.52
31,1368,S39-6,C1,Sleeper,113.91
32,1492,S24-3,C2,AC,431.64
33,5356,S34-4,C4,AC,144.83
34,3349,S13-2,C8,Sleeper,108.75
35,9718,S39-4,C7,AC,275.73
36,8734,S24-5,C5,Sleeper,81.32
37,6312,S11-1,C1,General,352.06
38,6638,S23-1,C5,General,327.09
39,7564,S14-5,C7,General,213.65
40,4755,S48-2,C2,Sleeper,202.96
41,7192,S32-1,C1,Sleeper,356.15
42,2358,S30-3,C10,AC,68.67
43,8943,S38-3,C9,AC,324.42
44,9960,S13-3,C9,AC,141.71
45,2640,S13-1,C5,General,174.44
46,5463,S11-6,C2,Sleeper,205.53
47,8982,S28-1,C7,Sleeper,339.21
48,81,S49-5,C9,Sleeper,298.2
49,4466,S4-6,C10,General,377.99
50,9581,S8-3,C2,AC,385.32
51,4782,S1-3,C1,General,206.9
52,1298,S46-2,C5,AC,333.16
53,2647,S39-6,C7,Sleeper,402.62
54,4173,S5-2,C3,AC,186.44
55,2223,S21-6,C5,General,148.64
56,9420,S48-2,C5,AC,145.35
57,6519,S1-3,C3,AC,61.78
58,1371,S30-3,C5,Sleeper,215.34
59,3888,S37-6,C7,General,343.1
60,3044,S29-4,C9,Sleeper,58.62
61,1604,S36-6,C9,Sleeper,124.46
62,5025,S50-4,C7,Sleeper,471.09
63,2615,S50-5,C1,General,411.89
64,27,S11-1,C10,AC,314.11
65,251,S39-4,C4,AC,440.05
66,1664,S44-3,C10,Sleeper,83.66
67,5597,S42-2,C4,Sleeper,247.94
68,2217,S43-3,C4,Sleeper,274.49
69,7766,S1-5,C7,Sleeper,188.77
70,3862,S30-4,C6,General,257.34
71,6026,S13-4,C2,AC,112.26
72,1882,S21-2,C4,Sleeper,61.17
73,3272,S12-3,C7,General,460.73
74,6812,S18-4,C5,Sleeper,135.88
75,3865,S5-1,C6,Sleeper,317.68
76,8244,S15-5,C5,General,387.75
77,4934,S11-2,C7,General,244.56
78,1424,S24-3,C4,Sleeper,316.85
79,481,S14-6,C5,General,305.78
80,4043,S5-3,C7,General,204.18
81,6213,S28-4,C2,Sleeper,230.42
82,6861,S46-2,C6,Sleeper,386.1
83,4940,S21-2,C3,General,389.69
84,2223,S14-2,C6,General,147.35
85,5060,S33-6,C6,General,134.14
86,9759,S29-5,C10,Sleeper,370.41
87,9767,S27-3,C8,AC,191.88
88,3931,S42-2,C6,Sleeper,103.68
89,9953,S32-1,C7,AC,52.93
90,7098,S19-1,C3,Sleeper,468.33
91,1251,S21-3,C1,Sleeper,188.68
92,7541,S33-2,C1,AC,450.49
93,239,S7-4,C4,Sleeper,273.85
94,343,S13-6,C5,General,101.76
95,1675,S2-6,C6,Sleeper,221.19
96,9916,S41-4,C4,AC,470.45
97,2739,S30-2,C2,Sleeper,460.05
98,6656,S17-6,C6,AC,141.21
99,7970,S27-5,C8,General,480.31
100,7845,S43-3,C7,AC,333.31
101,3047,S25-5,C9,AC,369.17
102,79,S6-6,C4,Sleeper,149.27
103,7999,S40-5,C9,Sleeper,415.3
104,7409,S1-2,C7,General,437.43
105,1977,S39-5,C7,Sleeper,183.47
106,9879,S19-5,C2,General,208.33
107,5050,S48-4,C6,AC,477.9
108,6813,S48-1,C4,General,177.42
109,5346,S45-2,C7,Sleeper,418.61
110,8445,S12-2,C9,AC,304.84
111,6619,S5-3,C2,Sleeper,304.52
112,6232,S25-1,C6,General,126.38
113,3113,S11-6,C6,AC,287.52
114,754,S36-5,C6,Sleeper,240.6
115,245,S13-1,C4,AC,381.17
116,7908,S48-6,C2,Sleeper,132.8
117,2250,S31-2,C1,General,112.54
118,3840,S34-6,C6,General,307.98
119,5416,S45-1,C3,General,331.76
120,577,S30-2,C3,Sleeper,70.57
121,3354,S16-3,C9,Sleeper,150.16
122,9443,S35-5,C6,Sleeper,97.5
123,1966,S16-6,C10,General,273.71
124,7694,S16-5,C8,General,120.8
125,9033,S30-4,C8,General,419.73
126,4029,S26-1,C9,General,181.87
127,2134,S38-4,C7,AC,96.82
128,4190,S44-3,C9,AC,202.46
129,4437,S13-1,C7,Sleeper,419.03
130,6261,S34-1,C5,General,354.31
131,9128,S41-3,C10,General,331.81
132,9628,S33-6,C8,Sleeper,72.66
133,9670,S33-1,C2,Sleeper,54.54
134,78,S34-3,C4,General,148.3
135,1961,S19-1,C10,General,297.37
136,1237,S45-6,C8,General,234.59
137,3196,S2-6,C6,Sleeper,499.41
138,4581,S37-3,C1,AC,177.29
139,2799,S29-1,C10,Sleeper,306.67
140,98,S10-6,C9,AC,489.41
141,4321,S49-1,C7,Sleeper,353.38
142,9698,S14-6,C7,Sleeper,172.85
143,954,S34-6,C9,AC,491.79
144,1879,S42-6,C7,Sleeper,109.72
145,8290,S7-2,C8,Sleeper,490.52
146,5246,S31-6,C5,Sleeper,66.95
147,7797,S27-2,C3,AC,433.86
148,5483,S39-3,C2,General,196.84
149,5901,S35-2,C9,AC,87.65
150,7072,S15-3,C8,General,82.97
151,1944,S27-3,C5,General,245.18
152,8200,S18-4,C2,Sleeper,126.77
153,962,S7-1,C3,General,342.0
154,5545,S34-6,C6,General,104.35
155,1613,S36-3,C9,Sleeper,462.07
156,872,S7-3,C7,Sleeper,109.24
157,6074,S16-3,C10,AC,279.22
158,8360,S38-1,C2,AC,482.83
159,8813,S8-2,C4,AC,242.96
160,1337,S26-4,C7,AC,72.08
161,7422,S7-4,C9,General,131.03
162,8662,S41-5,C9,AC,441.87
163,8399,S50-6,C8,Sleeper,295.38
164,3257,S35-2,C5,AC,351.27
165,7269,S48-1,C6,Sleeper,55.68
166,4187,S31-2,C1,General,299.64
167,3028,S34-2,C2,Sleeper,101.18
168,1289,S45-3,C9,Sleeper,189.97
169,1514,S48-3,C4,Sleeper,173.31
170,4843,S20-4,C10,AC,289.64
171,9646,S19-2,C6,General,235.71
172,4921,S38-1,C1,Sleeper,315.84
173,6878,S34-6,C10,Sleeper,161.03
174,5894,S1-1,C5,Sleeper,328.31
175,1463,S43-1,C4,General,69.7
176,432,S29-4,C7,Sleeper,264.52
177,6343,S45-1,C7,General,375.5
178,9116,S47-3,C7,AC,408.28
179,8823,S44-2,C1,General,284.99
180,2073,S34-3,C9,Sleeper,280.35
181,8759,S25-5,C7,General,112.86
182,4601,S17-3,C1,AC,216.45
183,2330,S20-4,C8,Sleeper,87.32
184,3645,S50-5,C7,Sleeper,342.56
185,6615,S10-1,C10,Sleeper,233.67
186,4465,S38-6,C5,Sleeper,264.68
187,2582,S13-1,C10,Sleeper,78.14
188,916,S45-4,C7,General,464.75
189,3978,S29-2,C2,General,295.5
190,5948,S36-5,C4,AC,281.12
191,4100,S47-6,C1,AC,266.64
192,6000,S45-4,C2,Sleeper,424.27
193,5205,S25-3,C7,General,175.22
194,7019,S21-4,C7,AC,255.9
195,5492,S30-1,C2,Sleeper,113.16
196,8097,S2-1,C9,General,345.71
197,5532,S41-5,C10,Sleeper,394.34
198,9334,S28-4,C10,Sleeper,411.8
199,6706,S12-3,C6,Sleeper,205.34
200,6899,S6-3,C1,General,370.57
201,3894,S13-3,C10,General,280.97
202,4230,S35-1,C9,AC,79.51
203,7064,S44-6,C9,General,480.33
204,165,S17-2,C5,Sleeper,122.47
205,9879,S43-4,C9,AC,147.6
206,2030,S45-6,C1,Sleeper,370.39
207,3589,S38-5,C10,Sleeper,54.32
208,225,S18-1,C1,Sleeper,270.49
209,6888,S23-5,C5,General,463.94
210,9294,S43-1,C2,AC,69.07
211,5557,S28-3,C1,Sleeper,425.34
212,7375,S36-4,C1,General,382.7
213,9795,S3-5,C6,General,75.34
214,7553,S48-5,C10,Sleeper,172.06
215,3161,S26-5,C2,General,393.22
216,1826,S34-2,C9,AC,446.4
217,8694,S49-5,C4,AC,109.89
218,9614,S27-1,C7,General,137.23
219,7293,S43-4,C2,AC,462.73
220,7499,S21-2,C10,AC,372.14
